Visitor/Neutral,PTS,Home/Neutral,PTS
New Orleans Pelicans,93,Portland Trail Blazers,103
Utah Jazz,84,Los Angeles Clippers,102
Denver Nuggets,93,Charlotte Hornets,110
Minnesota Timberwolves,101,Detroit Pistons,122
Houston Rockets,105,Philadelphia 76ers,104
Cleveland Cavaliers,107,Brooklyn Nets,112
San Antonio Spurs,117,Miami Heat,100
Indiana Pacers,96,Oklahoma City Thunder,114
Memphis Grizzlies,94,Dallas Mavericks,103
Utah Jazz,88,Phoenix Suns,97
Toronto Raptors,112,Golden State Warriors,117
Washington Wizards,99,Los Angeles Lakers,102
Atlanta Hawks,86,Chicago Bulls,91
Dallas Mavericks,91,Memphis Grizzlies,96
Boston Celtics,96,Milwaukee Bucks,89
Los Angeles Clippers,104,Portland Trail Blazers,103
New Orleans Pelicans,114,Sacramento Kings,106
Houston Rockets,109,Charlotte Hornets,93
San Antonio Spurs,87,Orlando Magic,114
Denver Nuggets,105,Atlanta Hawks,100
Brooklyn Nets,86,New York Knicks,107
Oklahoma City Thunder,116,Minnesota Timberwolves,119
Washington Wizards,117,Golden State Warriors,120
Toronto Raptors,101,Los Angeles Lakers,92
Cleveland Cavaliers,101,New Orleans Pelicans,123
Oklahoma City Thunder,101,Chicago Bulls,69
Houston Rockets,89,Memphis Grizzlies,103
Boston Celtics,96,Miami Heat,90
Philadelphia 76ers,112,Dallas Mavericks,110
Los Angeles Lakers,81,Utah Jazz,96
Phoenix Suns,107,Portland Trail Blazers,114
Detroit Pistons,95,Los Angeles Clippers,87
Milwaukee Bucks,117,Atlanta Hawks,106
San Antonio Spurs,94,Indiana Pacers,97
Denver Nuggets,124,Brooklyn Nets,111
Orlando Magic,113,Charlotte Hornets,120
Washington Wizards,110,Sacramento Kings,83
New York Knicks,114,Cleveland Cavaliers,95
Detroit Pistons,115,Golden State Warriors,107
San Antonio Spurs,94,Boston Celtics,108
Minnesota Timberwolves,125,Miami Heat,122
Denver Nuggets,110,New York Knicks,116
Philadelphia 76ers,115,Houston Rockets,107
Charlotte Hornets,104,Memphis Grizzlies,99
Orlando Magic,115,New Orleans Pelicans,99
Dallas Mavericks,89,Utah Jazz,104
Toronto Raptors,99,Portland Trail Blazers,85
Golden State Warriors,141,Los Angeles Clippers,113
Sacramento Kings,83,Indiana Pacers,101
Phoenix Suns,122,Brooklyn Nets,114
Oklahoma City Thunder,110,Milwaukee Bucks,91
Detroit Pistons,93,Los Angeles Lakers,113
Milwaukee Bucks,121,Charlotte Hornets,126
Indiana Pacers,124,Cleveland Cavaliers,107
Atlanta Hawks,109,Philadelphia 76ers,119
Phoenix Suns,122,Washington Wizards,116
Sacramento Kings,86,Boston Celtics,113
Chicago Bulls,91,Miami Heat,97
Orlando Magic,101,Memphis Grizzlies,99
Minnesota Timberwolves,104,New Orleans Pelicans,98
Houston Rockets,119,New York Knicks,97
Toronto Raptors,111,Denver Nuggets,129
Portland Trail Blazers,103,Utah Jazz,112
Dallas Mavericks,98,Los Angeles Clippers,119
Golden State Warriors,112,San Antonio Spurs,92
Los Angeles Lakers,110,Portland Trail Blazers,113
Milwaukee Bucks,96,Detroit Pistons,105
Chicago Bulls,105,Orlando Magic,83
Indiana Pacers,110,Philadelphia 76ers,121
Cleveland Cavaliers,130,Washington Wizards,122
Houston Rockets,119,Atlanta Hawks,104
Phoenix Suns,107,New York Knicks,120
New Orleans Pelicans,99,Dallas Mavericks,94
Charlotte Hornets,101,San Antonio Spurs,108
Miami Heat,94,Denver Nuggets,95
Toronto Raptors,109,Utah Jazz,100
Boston Celtics,101,Oklahoma City Thunder,94
Brooklyn Nets,112,Los Angeles Lakers,124
Memphis Grizzlies,113,Los Angeles Clippers,104
Sacramento Kings,99,Detroit Pistons,108
New Orleans Pelicans,96,Chicago Bulls,90
Dallas Mavericks,99,Minnesota Timberwolves,112
Golden State Warriors,127,Denver Nuggets,108
Atlanta Hawks,117,Cleveland Cavaliers,115
Miami Heat,104,Los Angeles Clippers,101
Boston Celtics,104,Orlando Magic,88
Washington Wizards,107,Toronto Raptors,96
Utah Jazz,110,Houston Rockets,137
Phoenix Suns,95,San Antonio Spurs,112
Indiana Pacers,101,New York Knicks,108
Charlotte Hornets,94,Minnesota Timberwolves,112
Oklahoma City Thunder,99,Portland Trail Blazers,103
Memphis Grizzlies,102,Los Angeles Lakers,107
Boston Celtics,110,Atlanta Hawks,107
Brooklyn Nets,98,Phoenix Suns,92
Miami Heat,80,Golden State Warriors,97
Milwaukee Bucks,119,Cleveland Cavaliers,124
New Orleans Pelicans,117,Indiana Pacers,112
Dallas Mavericks,113,Washington Wizards,99
Charlotte Hornets,113,New York Knicks,118
Chicago Bulls,114,Toronto Raptors,119
Los Angeles Clippers,107,San Antonio Spurs,120
Brooklyn Nets,104,Denver Nuggets,112
Philadelphia 76ers,104,Utah Jazz,97
Memphis Grizzlies,98,Portland Trail Blazers,97
Oklahoma City Thunder,86,Sacramento Kings,94
Indiana Pacers,97,Detroit Pistons,114
New York Knicks,99,Orlando Magic,112
Los Angeles Lakers,96,Boston Celtics,107
Miami Heat,126,Phoenix Suns,115
Minnesota Timberwolves,101,Golden State Warriors,125
Los Angeles Lakers,95,Washington Wizards,111
New Orleans Pelicans,118,Toronto Raptors,122
Cleveland Cavaliers,113,Houston Rockets,117
Philadelphia 76ers,108,Sacramento Kings,109
Oklahoma City Thunder,94,Denver Nuggets,102
Atlanta Hawks,104,Detroit Pistons,111
Charlotte Hornets,87,Boston Celtics,90
Indiana Pacers,105,Chicago Bulls,87
Los Angeles Clippers,111,Oklahoma City Thunder,120
Orlando Magic,128,Phoenix Suns,112
Milwaukee Bucks,94,San Antonio Spurs,87
Miami Heat,84,Utah Jazz,74
Brooklyn Nets,101,Portland Trail Blazers,97
Los Angeles Clippers,103,New Orleans Pelicans,111
Atlanta Hawks,94,Washington Wizards,113
Memphis Grizzlies,96,Houston Rockets,111
Sacramento Kings,91,New York Knicks,118
Cleveland Cavaliers,111,Dallas Mavericks,104
Philadelphia 76ers,114,Golden State Warriors,135
Los Angeles Lakers,90,Milwaukee Bucks,98
Chicago Bulls,94,San Antonio Spurs,133
Orlando Magic,107,Denver Nuggets,125
Minnesota Timberwolves,110,Phoenix Suns,118
Brooklyn Nets,106,Utah Jazz,114
Toronto Raptors,94,Boston Celtics,95
Miami Heat,103,Detroit Pistons,112
Houston Rockets,118,Indiana Pacers,95
Dallas Mavericks,99,Oklahoma City Thunder,112
Sacramento Kings,92,Washington Wizards,110
Cleveland Cavaliers,104,New York Knicks,101
Memphis Grizzlies,103,Milwaukee Bucks,110
Atlanta Hawks,105,New Orleans Pelicans,106
Los Angeles Lakers,100,Phoenix Suns,93
Minnesota Timberwolves,109,Utah Jazz,98
Denver Nuggets,82,Portland Trail Blazers,99
Orlando Magic,100,Golden State Warriors,110
Philadelphia 76ers,109,Los Angeles Clippers,105
Boston Celtics,109,Brooklyn Nets,102
Toronto Raptors,129,Houston Rockets,113
San Antonio Spurs,97,Dallas Mavericks,91
Sacramento Kings,80,Atlanta Hawks,126
Washington Wizards,102,Miami Heat,93
Utah Jazz,101,New York Knicks,106
Cleveland Cavaliers,115,Charlotte Hornets,107
Indiana Pacers,116,Memphis Grizzlies,113
Detroit Pistons,95,Milwaukee Bucks,99
San Antonio Spurs,86,Minnesota Timberwolves,98
Toronto Raptors,125,New Orleans Pelicans,116
Chicago Bulls,79,Oklahoma City Thunder,92
Orlando Magic,94,Portland Trail Blazers,99
Philadelphia 76ers,115,Los Angeles Lakers,109
Golden State Warriors,88,Boston Celtics,92
Houston Rockets,142,Phoenix Suns,116
Detroit Pistons,100,Indiana Pacers,107
Miami Heat,91,Washington Wizards,88
Utah Jazz,107,Brooklyn Nets,118
Los Angeles Clippers,113,Cleveland Cavaliers,118
New York Knicks,84,Toronto Raptors,107
Charlotte Hornets,120,Chicago Bulls,123
Oklahoma City Thunder,101,San Antonio Spurs,104
Minnesota Timberwolves,111,Dallas Mavericks,87
Portland Trail Blazers,82,Sacramento Kings,86
New Orleans Pelicans,114,Denver Nuggets,146
Phoenix Suns,122,Los Angeles Lakers,113
Los Angeles Clippers,87,Charlotte Hornets,102
Utah Jazz,125,Orlando Magic,85
Boston Celtics,110,Atlanta Hawks,99
Golden State Warriors,124,Philadelphia 76ers,116
Houston Rockets,105,Memphis Grizzlies,83
Milwaukee Bucks,79,Dallas Mavericks,111
Sacramento Kings,90,Portland Trail Blazers,102
Washington Wizards,91,Toronto Raptors,100
Indiana Pacers,120,Miami Heat,95
Golden State Warriors,118,Brooklyn Nets,111
Detroit Pistons,100,Minnesota Timberwolves,97
Chicago Bulls,105,Phoenix Suns,113
Denver Nuggets,109,Los Angeles Lakers,127
Minnesota Timberwolves,102,Charlotte Hornets,118
Cleveland Cavaliers,116,Detroit Pistons,88
Indiana Pacers,105,Orlando Magic,97
Utah Jazz,86,Philadelphia 76ers,107
Los Angeles Clippers,85,New York Knicks,107
Portland Trail Blazers,100,Memphis Grizzlies,92
Washington Wizards,99,Milwaukee Bucks,88
Oklahoma City Thunder,107,New Orleans Pelicans,114
Boston Celtics,110,Dallas Mavericks,102
Atlanta Hawks,85,San Antonio Spurs,96
Denver Nuggets,114,Sacramento Kings,98
Chicago Bulls,94,Los Angeles Lakers,103
Washington Wizards,124,Charlotte Hornets,129
Brooklyn Nets,109,Cleveland Cavaliers,119
Portland Trail Blazers,81,Philadelphia 76ers,101
Los Angeles Clippers,116,Atlanta Hawks,103
Boston Celtics,98,Miami Heat,104
Toronto Raptors,100,New York Knicks,108
Denver Nuggets,95,Houston Rockets,125
Dallas Mavericks,95,Memphis Grizzlies,94
Orlando Magic,118,Minnesota Timberwolves,124
San Antonio Spurs,90,New Orleans Pelicans,107
Golden State Warriors,91,Oklahoma City Thunder,108
Milwaukee Bucks,113,Phoenix Suns,107
Chicago Bulls,80,Utah Jazz,110
Los Angeles Lakers,102,Sacramento Kings,113
Portland Trail Blazers,127,Brooklyn Nets,125
New York Knicks,104,Atlanta Hawks,116
Orlando Magic,103,Boston Celtics,118
Charlotte Hornets,99,Cleveland Cavaliers,100
Toronto Raptors,104,Indiana Pacers,107
Miami Heat,109,Minnesota Timberwolves,97
Detroit Pistons,99,Oklahoma City Thunder,98
Memphis Grizzlies,92,Denver Nuggets,104
New Orleans Pelicans,115,Phoenix Suns,91
Chicago Bulls,94,Golden State Warriors,143
San Antonio Spurs,106,Charlotte Hornets,86
Orlando Magic,111,Philadelphia 76ers,130
Portland Trail Blazers,108,Washington Wizards,105
Toronto Raptors,112,Atlanta Hawks,78
New York Knicks,102,Houston Rockets,117
Boston Celtics,108,Indiana Pacers,98
Oklahoma City Thunder,81,Dallas Mavericks,97
New Orleans Pelicans,95,Golden State Warriors,110
Milwaukee Bucks,108,Utah Jazz,121
Los Angeles Clippers,97,Sacramento Kings,95
Miami Heat,100,Chicago Bulls,93
Phoenix Suns,108,Minnesota Timberwolves,119
Brooklyn Nets,98,Memphis Grizzlies,88
Orlando Magic,109,Indiana Pacers,121
Cleveland Cavaliers,113,Philadelphia 76ers,91
Detroit Pistons,118,Boston Celtics,108
Portland Trail Blazers,103,New York Knicks,91
Brooklyn Nets,103,Houston Rockets,117
Dallas Mavericks,108,San Antonio Spurs,115
Sacramento Kings,110,Golden State Warriors,106
Los Angeles Lakers,115,Los Angeles Clippers,120
Miami Heat,97,Cleveland Cavaliers,108
Phoenix Suns,104,Chicago Bulls,99
Washington Wizards,92,Minnesota Timberwolves,89
Milwaukee Bucks,112,Sacramento Kings,87
Denver Nuggets,77,Utah Jazz,106
Phoenix Suns,107,Detroit Pistons,131
Oklahoma City Thunder,108,Orlando Magic,121
Washington Wizards,113,Philadelphia 76ers,118
Miami Heat,86,New York Knicks,115
Charlotte Hornets,113,Toronto Raptors,126
Indiana Pacers,97,Houston Rockets,118
Minnesota Timberwolves,120,New Orleans Pelicans,102
Brooklyn Nets,109,Dallas Mavericks,104
Memphis Grizzlies,95,San Antonio Spurs,104
Golden State Warriors,127,Los Angeles Lakers,123
Cleveland Cavaliers,121,Atlanta Hawks,114
Philadelphia 76ers,97,Boston Celtics,108
Chicago Bulls,110,Denver Nuggets,111
Milwaukee Bucks,103,Portland Trail Blazers,91
Utah Jazz,126,Los Angeles Clippers,107
Golden State Warriors,133,Orlando Magic,112
Detroit Pistons,91,Washington Wizards,109
Indiana Pacers,115,Toronto Raptors,120
Sacramento Kings,107,Chicago Bulls,106
San Antonio Spurs,95,Memphis Grizzlies,79
Charlotte Hornets,100,Miami Heat,105
Minnesota Timberwolves,107,Oklahoma City Thunder,111
New Orleans Pelicans,108,Utah Jazz,114
Phoenix Suns,111,Boston Celtics,116
Los Angeles Clippers,82,Dallas Mavericks,108
Atlanta Hawks,114,Brooklyn Nets,102
Memphis Grizzlies,111,Cleveland Cavaliers,116
Detroit Pistons,103,Philadelphia 76ers,108
Sacramento Kings,104,Milwaukee Bucks,109
Los Angeles Lakers,100,Denver Nuggets,115
New Orleans Pelicans,123,Portland Trail Blazers,116
Orlando Magic,105,New York Knicks,100
Golden State Warriors,123,Miami Heat,95
Los Angeles Clippers,106,Minnesota Timberwolves,112
San Antonio Spurs,87,Oklahoma City Thunder,90
Houston Rockets,118,Los Angeles Lakers,95
Orlando Magic,94,Charlotte Hornets,104
New York Knicks,97,Indiana Pacers,115
Phoenix Suns,115,Philadelphia 76ers,101
Brooklyn Nets,110,Atlanta Hawks,90
Milwaukee Bucks,100,Boston Celtics,111
Cleveland Cavaliers,113,Chicago Bulls,91
Minnesota Timberwolves,92,Memphis Grizzlies,95
Golden State Warriors,125,New Orleans Pelicans,115
Denver Nuggets,105,Dallas Mavericks,122
Detroit Pistons,93,San Antonio Spurs,96
Washington Wizards,69,Utah Jazz,116
Phoenix Suns,113,Toronto Raptors,126
Utah Jazz,94,Oklahoma City Thunder,100
Washington Wizards,106,Portland Trail Blazers,92
Sacramento Kings,95,Cleveland Cavaliers,101
Chicago Bulls,96,Indiana Pacers,98
Atlanta Hawks,106,Orlando Magic,110
Dallas Mavericks,90,Boston Celtics,97
Memphis Grizzlies,88,New York Knicks,99
Golden State Warriors,101,Charlotte Hornets,87
Detroit Pistons,100,Milwaukee Bucks,104
Denver Nuggets,114,New Orleans Pelicans,123
Miami Heat,105,San Antonio Spurs,117
Minnesota Timberwolves,113,Los Angeles Clippers,107
Los Angeles Lakers,107,Philadelphia 76ers,104
Washington Wizards,109,Phoenix Suns,99
Oklahoma City Thunder,95,Brooklyn Nets,100
Houston Rockets,112,Utah Jazz,101
Chicago Bulls,119,Charlotte Hornets,111
Golden State Warriors,102,Detroit Pistons,98
Cleveland Cavaliers,102,Indiana Pacers,106
Denver Nuggets,103,Orlando Magic,89
Toronto Raptors,116,Memphis Grizzlies,107
Dallas Mavericks,102,Milwaukee Bucks,109
Sacramento Kings,116,New Orleans Pelicans,109
Boston Celtics,102,San Antonio Spurs,105
Washington Wizards,112,Los Angeles Clippers,113
Miami Heat,101,Brooklyn Nets,89
Los Angeles Lakers,110,Charlotte Hornets,99
Orlando Magic,110,Atlanta Hawks,117
New York Knicks,102,Chicago Bulls,104
Philadelphia 76ers,98,Cleveland Cavaliers,105
Utah Jazz,100,Milwaukee Bucks,117
Oklahoma City Thunder,102,Memphis Grizzlies,101
San Antonio Spurs,104,Phoenix Suns,101
Houston Rockets,124,Portland Trail Blazers,117
Toronto Raptors,102,Sacramento Kings,87
Boston Celtics,91,Detroit Pistons,81
Denver Nuggets,116,Indiana Pacers,126
Dallas Mavericks,92,Minnesota Timberwolves,97
Philadelphia 76ers,124,New Orleans Pelicans,131
Atlanta Hawks,107,New York Knicks,111
Boston Celtics,85,Chicago Bulls,108
New Orleans Pelicans,123,Houston Rockets,130
Miami Heat,107,Memphis Grizzlies,82
Charlotte Hornets,116,Oklahoma City Thunder,103
Portland Trail Blazers,104,Golden State Warriors,111
Toronto Raptors,91,Los Angeles Clippers,96
Atlanta Hawks,114,Cleveland Cavaliers,123
Denver Nuggets,103,Detroit Pistons,84
Los Angeles Lakers,109,New York Knicks,113
Washington Wizards,98,Brooklyn Nets,103
San Antonio Spurs,89,Dallas Mavericks,95
Philadelphia 76ers,118,Minnesota Timberwolves,112
Phoenix Suns,92,Sacramento Kings,99
Oklahoma City Thunder,100,Indiana Pacers,95
Los Angeles Clippers,106,Orlando Magic,95
Memphis Grizzlies,87,Washington Wizards,93
Denver Nuggets,118,Boston Celtics,124
Portland Trail Blazers,102,Miami Heat,95
Utah Jazz,100,Chicago Bulls,103
Milwaukee Bucks,108,New Orleans Pelicans,115
Toronto Raptors,115,Phoenix Suns,109
Charlotte Hornets,96,Houston Rockets,108
Detroit Pistons,105,Atlanta Hawks,91
New York Knicks,111,Brooklyn Nets,104
Los Angeles Lakers,112,Cleveland Cavaliers,121
Sacramento Kings,96,Minnesota Timberwolves,119
Dallas Mavericks,97,Golden State Warriors,112
Miami Heat,104,Charlotte Hornets,98
Detroit Pistons,104,Indiana Pacers,98
Portland Trail Blazers,95,Orlando Magic,88
Oklahoma City Thunder,119,Philadelphia 76ers,117
Los Angeles Clippers,91,Washington Wizards,100
Utah Jazz,107,Boston Celtics,95
Brooklyn Nets,87,Toronto Raptors,120
Atlanta Hawks,94,Memphis Grizzlies,96
Chicago Bulls,115,Milwaukee Bucks,109
New Orleans Pelicans,111,Denver Nuggets,117
San Antonio Spurs,109,Houston Rockets,124
Portland Trail Blazers,93,Charlotte Hornets,91
Utah Jazz,100,Cleveland Cavaliers,109
Oklahoma City Thunder,96,New York Knicks,111
Milwaukee Bucks,111,Houston Rockets,115
Los Angeles Clippers,85,Miami Heat,90
Phoenix Suns,108,Minnesota Timberwolves,106
Dallas Mavericks,96,San Antonio Spurs,98
Boston Celtics,102,Memphis Grizzlies,93
Sacramento Kings,93,Toronto Raptors,108
Orlando Magic,110,Detroit Pistons,114
Indiana Pacers,109,Brooklyn Nets,97
Cleveland Cavaliers,106,Washington Wizards,99
New York Knicks,91,Charlotte Hornets,109
Boston Celtics,112,Indiana Pacers,111
Miami Heat,104,Atlanta Hawks,110
Philadelphia 76ers,115,Chicago Bulls,117
Utah Jazz,99,Houston Rockets,120
Portland Trail Blazers,107,Minnesota Timberwolves,108
Denver Nuggets,94,Oklahoma City Thunder,95
Phoenix Suns,97,Dallas Mavericks,91
Los Angeles Clippers,91,San Antonio Spurs,109
Golden State Warriors,116,Los Angeles Lakers,114
Sacramento Kings,101,Philadelphia 76ers,95
New Orleans Pelicans,106,Washington Wizards,116
Cleveland Cavaliers,116,Milwaukee Bucks,119
Toronto Raptors,129,Charlotte Hornets,111
Indiana Pacers,105,Atlanta Hawks,95
Miami Heat,90,Boston Celtics,89
Sacramento Kings,104,Brooklyn Nets,99
Orlando Magic,94,Chicago Bulls,112
Los Angeles Lakers,122,Houston Rockets,116
Utah Jazz,79,Oklahoma City Thunder,107
Detroit Pistons,93,Dallas Mavericks,110
Minnesota Timberwolves,112,Denver Nuggets,104
San Antonio Spurs,93,Portland Trail Blazers,91
Memphis Grizzlies,84,Golden State Warriors,97
Phoenix Suns,95,Los Angeles Clippers,108
Chicago Bulls,112,Cleveland Cavaliers,115
Toronto Raptors,114,Philadelphia 76ers,109
Boston Celtics,93,New York Knicks,102
Memphis Grizzlies,95,Phoenix Suns,97
San Antonio Spurs,89,Utah Jazz,100
New York Knicks,101,Detroit Pistons,104
New Orleans Pelicans,111,Orlando Magic,97
Washington Wizards,84,Brooklyn Nets,119
Los Angeles Clippers,128,Houston Rockets,118
Dallas Mavericks,101,Miami Heat,113
Charlotte Hornets,104,Milwaukee Bucks,109
Atlanta Hawks,117,Oklahoma City Thunder,120
Denver Nuggets,102,Portland Trail Blazers,85
Los Angeles Lakers,106,Golden State Warriors,113
Philadelphia 76ers,86,Toronto Raptors,102
Milwaukee Bucks,106,Charlotte Hornets,111
Brooklyn Nets,119,Indiana Pacers,123
Orlando Magic,103,Washington Wizards,130
Dallas Mavericks,107,Atlanta Hawks,112
Chicago Bulls,92,Boston Celtics,117
Los Angeles Clippers,112,Memphis Grizzlies,115
New Orleans Pelicans,109,Miami Heat,94
Oklahoma City Thunder,103,Utah Jazz,89
Denver Nuggets,96,Golden State Warriors,81
Minnesota Timberwolves,115,Phoenix Suns,106
Portland Trail Blazers,95,Los Angeles Lakers,92
San Antonio Spurs,108,Sacramento Kings,99
Philadelphia 76ers,105,New York Knicks,98
Cleveland Cavaliers,92,Golden State Warriors,99
Washington Wizards,111,Boston Celtics,103
Houston Rockets,107,Oklahoma City Thunder,112
Minnesota Timberwolves,121,Los Angeles Lakers,104
Toronto Raptors,93,Dallas Mavericks,98
Indiana Pacers,83,Detroit Pistons,107
Orlando Magic,89,Miami Heat,107
Chicago Bulls,115,Milwaukee Bucks,106
Brooklyn Nets,97,San Antonio Spurs,109
Utah Jazz,83,Denver Nuggets,107
Memphis Grizzlies,97,Phoenix Suns,99
Sacramento Kings,95,Los Angeles Clippers,122
Boston Celtics,102,Charlotte Hornets,91
Dallas Mavericks,98,Indiana Pacers,94
Washington Wizards,99,Atlanta Hawks,113
New York Knicks,87,Chicago Bulls,92
Denver Nuggets,125,Minnesota Timberwolves,128
Brooklyn Nets,113,New Orleans Pelicans,128
Toronto Raptors,107,Oklahoma City Thunder,124
Cleveland Cavaliers,95,Sacramento Kings,109
Utah Jazz,101,Golden State Warriors,126
Memphis Grizzlies,109,Los Angeles Lakers,99
Detroit Pistons,89,Orlando Magic,102
Houston Rockets,98,Boston Celtics,99
Minnesota Timberwolves,96,Milwaukee Bucks,102
New York Knicks,107,San Antonio Spurs,119
Philadelphia 76ers,110,Portland Trail Blazers,114
Houston Rockets,103,Washington Wizards,121
Atlanta Hawks,98,Toronto Raptors,111
Indiana Pacers,107,Chicago Bulls,119
Brooklyn Nets,111,Miami Heat,87
Dallas Mavericks,128,New Orleans Pelicans,120
Milwaukee Bucks,97,Oklahoma City Thunder,95
Phoenix Suns,111,Sacramento Kings,101
Charlotte Hornets,111,Golden State Warriors,100
Los Angeles Clippers,121,Los Angeles Lakers,106
San Antonio Spurs,79,Detroit Pistons,93
New York Knicks,105,New Orleans Pelicans,103
Miami Heat,117,Orlando Magic,111
Portland Trail Blazers,89,Atlanta Hawks,104
Cleveland Cavaliers,101,Utah Jazz,104
Memphis Grizzlies,128,Golden State Warriors,141
Philadelphia 76ers,107,Denver Nuggets,102
Chicago Bulls,110,Washington Wizards,114
Minnesota Timberwolves,107,Indiana Pacers,90
Brooklyn Nets,105,Boston Celtics,108
Los Angeles Lakers,142,Houston Rockets,148
Charlotte Hornets,98,Los Angeles Clippers,106
Dallas Mavericks,116,Oklahoma City Thunder,113
Memphis Grizzlies,114,Sacramento Kings,96
Philadelphia 76ers,123,Phoenix Suns,110
Orlando Magic,95,Brooklyn Nets,98
Milwaukee Bucks,127,Toronto Raptors,131
Portland Trail Blazers,124,Chicago Bulls,120
Los Angeles Lakers,96,Minnesota Timberwolves,114
Portland Trail Blazers,110,Cleveland Cavaliers,127
San Antonio Spurs,100,New York Knicks,91
Atlanta Hawks,103,Phoenix Suns,104
Charlotte Hornets,131,Sacramento Kings,111
Memphis Grizzlies,105,Los Angeles Clippers,113
Houston Rockets,116,Orlando Magic,98
San Antonio Spurs,106,Philadelphia 76ers,112
New York Knicks,103,Washington Wizards,121
Minnesota Timberwolves,97,Brooklyn Nets,98
Detroit Pistons,104,Miami Heat,111
Cleveland Cavaliers,88,Boston Celtics,102
Toronto Raptors,124,Chicago Bulls,115
Indiana Pacers,101,Milwaukee Bucks,122
Golden State Warriors,125,Dallas Mavericks,122
Phoenix Suns,111,Denver Nuggets,134
New Orleans Pelicans,108,Utah Jazz,98
Oklahoma City Thunder,133,Los Angeles Lakers,96
Golden State Warriors,124,Houston Rockets,114
Oklahoma City Thunder,127,Los Angeles Clippers,117
Minnesota Timberwolves,84,Boston Celtics,91
Detroit Pistons,78,Philadelphia 76ers,114
New York Knicks,103,Miami Heat,107
Toronto Raptors,129,Milwaukee Bucks,110
Chicago Bulls,127,Dallas Mavericks,124
Phoenix Suns,89,San Antonio Spurs,103
Utah Jazz,91,Denver Nuggets,99
Washington Wizards,102,Memphis Grizzlies,100
Atlanta Hawks,89,Portland Trail Blazers,110
Charlotte Hornets,108,Los Angeles Lakers,94
Golden State Warriors,121,Los Angeles Clippers,105
Boston Celtics,87,Brooklyn Nets,85
Houston Rockets,101,Detroit Pistons,108
Chicago Bulls,86,Indiana Pacers,125
Cleveland Cavaliers,131,Orlando Magic,127
Milwaukee Bucks,110,Washington Wizards,103
New Orleans Pelicans,98,Minnesota Timberwolves,116
Denver Nuggets,98,Sacramento Kings,106
Utah Jazz,102,Miami Heat,103
New York Knicks,100,Dallas Mavericks,96
Oklahoma City Thunder,100,Phoenix Suns,114
San Antonio Spurs,110,Portland Trail Blazers,111
Atlanta Hawks,113,Los Angeles Lakers,132
Milwaukee Bucks,96,Indiana Pacers,109
Toronto Raptors,114,Brooklyn Nets,113
Houston Rockets,116,Chicago Bulls,107
Cleveland Cavaliers,99,Minnesota Timberwolves,127
Detroit Pistons,109,New Orleans Pelicans,112
San Antonio Spurs,107,Sacramento Kings,100
Denver Nuggets,114,Golden State Warriors,124
Atlanta Hawks,107,Los Angeles Clippers,108
Miami Heat,90,Toronto Raptors,89
